"Player","League_from","League_to","Fee","Season"
"Vágner Love","Série A","Premier Liga","5.58","04-05"
"Luciano Figueroa","Primera Apertura","LaLiga","5.58","04-05"
"Eduardo Costa","Ligue 1","Ligue 1","5.4","04-05"
"Ricardo Quaresma","LaLiga","Liga NOS","5.4","04-05"
"Mido","Ligue 1","Serie A","5.4","04-05"
"Dean Ashton","Championship","Premier League","5.4","04-05"
"Juliano Belletti","LaLiga","LaLiga","5.4","04-05"
"Nilmar","Série A","Ligue 1","5.18","04-05"
"Francisco Lima","Serie A","Premier Liga","5.13","04-05"
"Dario Dainelli","Serie A","Serie A","4.95","04-05"
"Edú","2ª División","LaLiga","4.95","04-05"
"Stephen Makinwa","Serie B","Serie A","4.86","04-05"
"Joel Huiqui","Primera Apertura","Primera Apertura","4.86","04-05"
"Gerard Piqué","Spain","Premier League","4.73","04-05"
"Sean Davis","Premier League","Premier League","4.68","04-05"
"Fabián Carini","Jupiler Pro League","Serie A","4.68","04-05"
"Fabricio Coloccini","Serie A","LaLiga","4.5","04-05"
"Miroslav Klose","Bundesliga","Bundesliga","4.5","04-05"
"Mohamed Kallon","Serie A","Ligue 1","4.5","04-05"
"Simone Barone","Serie A","Serie A","4.5","04-05"
"Franck Ribéry","Ligue 1","Süper Lig","4.5","04-05"
"Rodrigo","Série A","Vyshcha Liga","4.5","04-05"
"Jádson","Série A","Vyshcha Liga","4.5","04-05"
"Benoît Pedretti","Ligue 1","Ligue 1","4.5","04-05"
"Peter Luccin","2ª División","LaLiga","4.5","04-05"
"Manuel Almunia","2ª División","Premier League","4.5","04-05"
"Sylvain Armand","Ligue 1","Ligue 1","4.5","04-05"
"Angelos Charisteas","Bundesliga","Eredivisie","4.41","04-05"
"César Carignano","Argentina","Super League","4.23","04-05"
"Robbie Savage","Premier League","Premier League","4.05","04-05"
"Thimothée Atouba","SSL","Premier League","4.05","04-05"
"Robin van Persie","Eredivisie","Premier League","4.05","04-05"
"Robert Earnshaw","Championship","Premier League","4.05","04-05"
"Juanfran","2ª División","Süper Lig","4.05","04-05"
"Nemanja Vidic<U+200E>","Meridian Prva","Premier Liga","4.01","04-05"
"Benjamin Lauth","2. Bundesliga","Bundesliga","3.69","04-05"
"Michael Carrick","Championship","Premier League","3.69","04-05"
"Marcelo Bordon","Bundesliga","Bundesliga","3.6","04-05"
"Martin Laursen","Serie A","Premier League","3.6","04-05"
"Alex","Série A","Süper Lig","3.6","04-05"
"Mikel Arteta","Premiership","LaLiga","3.6","04-05"
"Radoslav Kovac","Gambrinus Liga","Premier Liga","3.6","04-05"
"Alex","Série A","Süper Lig","3.6","04-05"
"Ricardo Oliveira","LaLiga","LaLiga","3.6","04-05"
"Emanuele Calaiò","Serie B","Serie C1 - B","3.6","04-05"
"Robert","Primera Apertura","Eredivisie","3.6","04-05"
"Francis Jeffers","Premier League","Premier League","3.51","04-05"
"Daniel Van Buyten","Ligue 1","Bundesliga","3.42","04-05"
"Martin Albrechtsen","SAS Ligaen","Premier League","3.38","04-05"
"Nicky Butt","Premier League","Premier League","3.38","04-05"
"Thomas Buffel","Eredivisie","Premiership","3.15","04-05"
"Paul Freier","Bundesliga","Bundesliga","3.15","04-05"
"Jefferson Farfán","Peru","Eredivisie","3.15","04-05"
"Nicolás Burdisso","Argentina","Serie A","3.15","04-05"
"Dennis Rommedahl","Eredivisie","Premier League","3.15","04-05"
"Luís Fabiano","Série A","Liga NOS","3.15","04-05"
"Cris","Série A","Ligue 1","3.15","04-05"
"Ariza Makukula","Ligue 1","LaLiga","3.15","04-05"
"John Carew","LaLiga","Süper Lig","3.15","04-05"
"Cícero","Liga NOS","Premier Liga","3.15","04-05"
"Mariano González","Argentina","Serie A","3.15","04-05"
"Dudu Cearense","J.League Div.1","Premier Liga","3.15","04-05"
"Thomas Gravesen","Premier League","LaLiga","3.06","04-05"
"Jesper Grönkjaer","Premier League","Premier League","2.97","04-05"
"Martin Jiranek","Serie A","Premier Liga","2.97","04-05"
"Luis Amaranto Perea","Argentina","LaLiga","2.97","04-05"
"Danny Murphy","Premier League","Premier League","2.93","04-05"
"Diego Forlán","Premier League","LaLiga","2.88","04-05"
"Cristian Silvestri","Serie A","Serie B","2.88","04-05"
"Nigel Quashie","Premier League","Premier League","2.84","04-05"
"Danny","Liga NOS","Premier Liga","2.7","04-05"
"Juan Carlos Menseguez","Argentina","Bundesliga","2.7","04-05"
"Paul Robinson","Championship","Premier League","2.7","04-05"
"Ibrahim Toraman","Süper Lig","Süper Lig","2.7","04-05"
"Habib Bamogo","Ligue 2","Ligue 1","2.7","04-05"
"Jelle Van Damme","Eredivisie","Premier League","2.7","04-05"
"Éric Carrière","Ligue 1","Ligue 1","2.7","04-05"
"Georgios Seitaridis","A' Ethniki","Liga NOS","2.7","04-05"
"Maicon","Série A","Ligue 1","2.7","04-05"
"Batista","Süper Lig","Vyshcha Liga","2.7","04-05"
"Julio Cáceres","Paraguay","Ligue 1","2.7","04-05"
"Tomas Hübschman","Gambrinus Liga","Vyshcha Liga","2.7","04-05"
"Pedro Mendes","Liga NOS","Premier League","2.7","04-05"
"Pablo Ibáñez","LaLiga","LaLiga","2.7","04-05"
"Peter Crouch","Premier League","Premier League","2.7","04-05"
"Florin Bratu","Süper Lig","Ligue 1","2.7","04-05"
"Ilan","Série A","Ligue 1","2.7","04-05"
"Pedro Mendes","Liga NOS","Premier League","2.7","04-05"
"Habib Bamogo","Ligue 2","Ligue 1","2.7","04-05"
"Amdy Fayé","Premier League","Premier League","2.7","04-05"
"Éric Carrière","Ligue 1","Ligue 1","2.7","04-05"
"Josemi","LaLiga","Premier League","2.7","04-05"
"Pablo Ibáñez","LaLiga","LaLiga","2.7","04-05"
"David Healy","Championship","Championship","2.48","04-05"
"Sotiris Kyrgiakos","A' Ethniki","Premiership","2.36","04-05"
"Eric Djemba Djemba","Premier League","Premier League","2.29","04-05"
"Leandro Romagnoli","Argentina","Primera Apertura","2.25","04-05"
"Emile Mpenza","Jupiler Pro League","Bundesliga","2.25","04-05"
"Daniel Moreira","Ligue 1","Ligue 1","2.25","04-05"
"Andreas Görlitz","2. Bundesliga","Bundesliga","2.25","04-05"
"Adailton","Série A","Ligue 1","2.25","04-05"
"Ricardo Fuller","Championship","Premier League","2.25","04-05"
"Mauro Rosales","Argentina","Eredivisie","2.25","04-05"
"Jan Lastuvka","Gambrinus Liga","Vyshcha Liga","2.25","04-05"
"Sergey Semak","Premier Liga","Ligue 1","2.25","04-05"
"Thiago Silva","Série A","Liga NOS","2.25","04-05"
"Giorgi Demetradze","Vyshcha Liga","Premier Liga","2.25","04-05"
"Lima","Liga NOS","Série A","2.25","04-05"
"Júlio César","Série A","Serie A","2.21","04-05"
"Erik Hagen","Tippeligaen","Premier Liga","2.16","04-05"
"Noé Pamarot","Ligue 1","Premier League","2.16","04-05"
"Cata Díaz","Argentina","Argentina","2.16","04-05"
"Roger","Liga NOS","Série A","2.07","04-05"
"Marek Heinz","Gambrinus Liga","Bundesliga","2.07","04-05"
"Mathieu Berson","Ligue 1","Premier League","2.07","04-05"
"Fitz Hall","Premier League","Premier League","2.03","04-05"
"Zoltán Gera","NB I.","Premier League","2.03","04-05"
"Milos Krasic","Meridian Prva","Premier Liga","2.03","04-05"
"Lomana LuaLua","Premier League","Premier League","2.03","04-05"
"Robbie Blake","Championship","Premier League","2.03","04-05"
"Richard Chaplow","Championship","Premier League","2.03","04-05"
"Morten Gamst Pedersen","Tippeligaen","Premier League","2.03","04-05"
"Sergio Almirón","Serie A","Serie B","1.98","04-05"
"Tim Cahill","Championship","Premier League","1.98","04-05"
"Emmanuel Eboué","Jupiler Pro League","Premier League","1.98","04-05"
"Vladimir Manchev","Ligue 1","LaLiga","1.98","04-05"
"Adriano","Série A","LaLiga","1.89","04-05"
"Jesper Grönkjaer","Premier League","LaLiga","1.8","04-05"
"Sonny Anderson","LaLiga","Qatar","1.8","04-05"
"Chong-gug Song","Eredivisie","K League - 2nd Stage","1.8","04-05"
"David Beckham","Premier League","LaLiga","33.75","03-04"
"Ronaldinho","Ligue 1","LaLiga","29.03","03-04"
"Hernán Crespo","Serie A","Premier League","23.4","03-04"
"Damien Duff","Premier League","Premier League","22.05","03-04"
"Adriano","Serie A","Serie A","21.06","03-04"
"Juan Sebastián Verón","Premier League","Premier League","19.35","03-04"
"Sébastien Frey","Serie A","Serie A","18.9","03-04"
"Claude Makélélé","LaLiga","Premier League","18","03-04"
"José Antonio Reyes","LaLiga","Premier League","18","03-04"
"Roy Makaay","LaLiga","Bundesliga","17.78","03-04"
"Adrian Mutu","Serie A","Premier League","17.1","03-04"
"Cristiano Ronaldo","Liga NOS","Premier League","17.1","03-04"
"Cristian Chivu","Eredivisie","Serie A","16.2","03-04"
"Louis Saha","Premier League","Premier League","15.75","03-04"
"Evanilson","Serie A","Bundesliga","13.5","03-04"
"Scott Parker","Premier League","Premier League","13.05","03-04"
"Michael Essien","Ligue 1","Ligue 1","10.53","03-04"
"Pauleta","Ligue 1","Ligue 1","9.9","03-04"
"Wayne Bridge","Premier League","Premier League","9.45","03-04"
"Jermain Defoe","First Division","Premier League","9.45","03-04"
"Harry Kewell","Premier League","Premier League","9","03-04"
"Njitap Geremi","LaLiga","Premier League","9","03-04"
"Reinaldo","Série A","Ligue 1","9","03-04"
"Joe Cole","First Division","Premier League","8.91","03-04"
"Barry Ferguson","Premiership","Premier League","8.78","03-04"
"Julio Cruz","Serie A","Serie A","8.55","03-04"
"Hélder Postiga","Liga NOS","Premier League","8.1","03-04"
"Andrés D'Alessandro","Argentina","Bundesliga","8.1","03-04"
"José Mari","Serie A","LaLiga","8.1","03-04"
"Ousmane Dabo","Serie B","Serie A","7.99","03-04"
"David Dunn","Premier League","Premier League","7.88","03-04"
"Kléberson","Série A","Premier League","7.74","03-04"
"Kaká","Série A","Serie A","7.65","03-04"
"Glen Johnson","First Division","Premier League","7.47","03-04"
"Stephen Appiah","Serie A","Serie A","7.2","03-04"
"Danko Lazovic","Serbia","Eredivisie","6.3","03-04"
"Ricardo Quaresma","Liga NOS","LaLiga","5.72","03-04"
"Rubén Olivera","Uruguay","Serie A","5.61","03-04"
"Joseph Yobo","Ligue 1","Premier League","5.4","03-04"
"Luca Toni","Serie A","Serie B","5.4","03-04"
"Wesley Sonck","Jupiler Pro League","Eredivisie","5.4","03-04"
"Mido","Eredivisie","Ligue 1","5.4","03-04"
"Didier Drogba","Ligue 1","Ligue 1","5.4","03-04"
"Branko Boskovic","Serbia","Ligue 1","5.4","03-04"
"Luciano Zauri","Serie B","Serie A","5.36","03-04"
"Anthony Réveillère","Ligue 1","Ligue 1","5.04","03-04"
"Aleksey Smertin","Ligue 1","Premier League","4.95","03-04"
"Jerko Leko","Croatia","Vyshcha Liga","4.95","03-04"
"Frédéric Kanouté","First Division","Premier League","4.73","03-04"
"Steve Finnan","Premier League","Premier League","4.73","03-04"
"Rafael Márquez","Ligue 1","LaLiga","4.73","03-04"
"Martín Demichelis","Argentina","Bundesliga","4.5","03-04"
"Ivica Olic","Croatia","Premier Liga","4.5","03-04"
"Ariel Ibagaza","LaLiga","LaLiga","4.5","03-04"
"Albert Riera","LaLiga","Ligue 1","4.5","03-04"
"Ilhan Mansiz","Süper Lig","J1 - 2nd Stage","4.5","03-04"
"Ciprian Marica","Romania","Vyshcha Liga","4.5","03-04"
"Kevin Phillips","First Division","Premier League","4.37","03-04"
"Yakubu Aiyegbeni","Ligat ha'Al","Premier League","4.28","03-04"
"Zvonimir Vukic","Serbia","Vyshcha Liga","4.23","03-04"
"Eric Djemba Djemba","Ligue 1","Premier League","4.05","03-04"
"Deivid","Série A","Ligue 1","4.05","03-04"
"Emiliano Bonazzoli","Serie A","Serie A","4.05","03-04"
"Andrija Delibasic","Serbia","LaLiga","4.05","03-04"
"Dmitri Sychev","Ligue 1","Premier Liga","4.05","03-04"
"Malcolm Christie","First Division","Premier League","4.05","03-04"
"Amauri","Serie A","Serie A","4.05","03-04"
"Giovane Elber","Bundesliga","Ligue 1","3.78","03-04"
"Daniel Carvalho","Série A","Premier Liga","3.78","03-04"
"Bonaventure Kalou","Eredivisie","Ligue 1","3.6","03-04"
"Florent Malouda","Ligue 1","Ligue 1","3.6","03-04"
"Roberto Nanni","Argentina","Vyshcha Liga","3.6","03-04"
"Chun-soo Lee","K League 1","LaLiga","3.6","03-04"
"Dejan Stankovic","Serie A","Serie A","3.6","03-04"
"Igor Duljaj","Serbia","Vyshcha Liga","3.6","03-04"
"Dudu Cearense","Série A","J1 - 2nd Stage","3.51","03-04"
"Trevor Sinclair","First Division","Premier League","3.38","03-04"
"Claudio Reyna","First Division","Premier League","3.38","03-04"
"Kim Källström","Sweden","Ligue 1","3.38","03-04"
"Luciano Figueroa","Argentina","Premier League","3.38","03-04"
"Steven Reid","First Division","Premier League","3.24","03-04"
"Philippe Senderos","SSL","Premier League","3.19","03-04"
"Gabriel Milito","Argentina","LaLiga","3.15","03-04"
"Benni McCarthy","LaLiga","Liga NOS","3.15","03-04"
"Zdenek Grygera","Gambrinus Liga","Eredivisie","3.15","03-04"
"Jens Lehmann","Bundesliga","Premier League","3.15","03-04"
"Júlio Baptista","Série A","LaLiga","3.15","03-04"
"Collins John","Eredivisie","Premier League","3.15","03-04"
"Gabriel Tamas","Süper Lig","Premier Liga","3.15","03-04"
"Ognjen Koroman","Premier Liga","Premier Liga","3.15","03-04"
"Gavin McCann","First Division","Premier League","3.04","03-04"
"Danijel Ljuboja","Ligue 1","Ligue 1","2.97","03-04"
"Tim Howard","MLS","Premier League","2.88","03-04"
"Jordi Hoogstrate","Eredivisie","Eredivisie","2.88","03-04"
"Cesc Fàbregas","Spain","Premier League","2.88","03-04"
"Emmanuel Adebayor","Ligue 1","Ligue 1","2.88","03-04"
"Roberto Muzzi","Serie A","Serie A","2.88","03-04"
"Liedson","Série A","Liga NOS","2.88","03-04"
"Ernesto Farías","Argentina","Serie B","2.84","03-04"
"David Bellion","First Division","Premier League","2.7","03-04"
"Brett Emerton","Eredivisie","Premier League","2.7","03-04"
"Modeste M'Bami","Ligue 2","Ligue 1","2.7","03-04"
"Kiki Musampa","LaLiga","LaLiga","2.7","03-04"
"Thomas Sörensen","First Division","Premier League","2.7","03-04"
"Jérémie Bréchet","Ligue 1","Serie A","2.7","03-04"
"Marco Streller","SSL","Bundesliga","2.7","03-04"
"Carl Cort","Premier League","Premier League","2.7","03-04"
"Vedin Music","Serie B","Serie A","2.7","03-04"
"Simon Jentzsch","Bundesliga","Bundesliga","2.57","03-04"
"Mauricio Pinilla","Chile","Serie A","2.52","03-04"
"Sebastián Battaglia","Argentina","LaLiga","2.52","03-04"
"David James","First Division","Premier League","2.52","03-04"
"Míchel","2ª División","LaLiga","2.43","03-04"
"Andrea Gasbarroni","Serie A","Serie B","2.43","03-04"
"Wálter Gaitán","Argentina","Primera Clausura","2.43","03-04"
"Thomas Christiansen","Bundesliga","Bundesliga","2.25","03-04"
"Dejan Stefanovic","Eredivisie","Premier League","2.25","03-04"
"Stepan Vachousek","Gambrinus Liga","Ligue 1","2.25","03-04"
"Karel D'Haene","Jupiler Pro League","Süper Lig","2.25","03-04"
"Kily González","LaLiga","Serie A","2.25","03-04"
"Gustavo Munúa","Uruguay","LaLiga","2.25","03-04"
"Zied Jaziri","Ligue I Pro","Süper Lig","2.25","03-04"
"Zisis Vryzas","Serie A","Serie B","2.25","03-04"
"Carlos Alberto","Série A","Liga NOS","2.25","03-04"
"Hakan Yakin","SSL","Bundesliga","2.25","03-04"
"Osmar Ferreyra","Argentina","Premier Liga","2.25","03-04"
"Ianis Zicu","Romania","Serie A","2.25","03-04"
"Mario Frick","Serie B","Serie B","2.25","03-04"
"Sixto Peralta","Argentina","Primera Clausura","2.25","03-04"
"Marcelo Delgado","Argentina","Primera Clausura","2.21","03-04"
"Mbulelo Mabizela","South Africa","Premier League","2.07","03-04"
"Tobias Rau","Bundesliga","Bundesliga","2.03","03-04"
"Silas","Liga NOS","Premier League","2.03","03-04"
"Henri Camara","Ligue 2","Premier League","2.03","03-04"
"Maik Taylor","Premier League","Premier League","2.03","03-04"
"Amdy Fayé","Ligue 1","Premier League","2","03-04"
"Neil McCann","Premiership","Premier League","2","03-04"
"Léo Lima","Série A","Bulgaria","1.98","03-04"
"Adolfo Bautista","Primera Clausura","Primera Clausura","1.94","03-04"
"Lorenzo Amoruso","Premiership","Premier League","1.89","03-04"
"Jason Roberts","First Division","First Division","1.89","03-04"
"Srdjan Stanic","Serbia","Premier Liga","1.89","03-04"
"Emanuel Centurión","Argentina","Bundesliga","1.8","03-04"
"Jean Carlos","Série A","Eredivisie","1.8","03-04"
"Bobby Zamora","Second Division (bis 03/04)","Premier League","1.8","03-04"
"Jody Craddock","First Division","Premier League","1.8","03-04"
"Óscar Córdoba","Argentina","Süper Lig","1.8","03-04"
"Emile Mpenza","Bundesliga","Jupiler Pro League","1.8","03-04"
"Yaya Touré","Jupiler Pro League","Vyshcha Liga","1.8","03-04"
"Evgeni Aldonin","Premier Liga","Premier Liga","1.8","03-04"
"Maris Verpakovskis","Virsliga","Vyshcha Liga","1.8","03-04"
"Kléber","Série A","Vyshcha Liga","1.8","03-04"
"Nolberto Solano","Premier League","Premier League","1.8","03-04"
"Nicola Pozzi","Serie C1 - A","Serie A","1.8","03-04"
"Guillermo Pereyra","Argentina","LaLiga","1.8","03-04"
"Fabiano Rossato","Liga NOS","Liga NOS","1.8","03-04"
"Marcelinho Carioca","Série A","United Arab Emirates","1.8","03-04"
"Gabriel Tamas","Romania","Süper Lig","1.8","03-04"
"Ricardinho","Série A","Premier League","1.8","03-04"
"Luca Antonini","Serie A","Serie A","1.8","03-04"
"Alessandro Budel","Serie B","Serie A","1.8","03-04"
"Jon Stead","England","Premier League","1.69","03-04"
"Hamit Altintop","Regionalliga Nord","Bundesliga","1.62","03-04"
"Moumouni Dagano","Jupiler Pro League","Ligue 1","1.62","03-04"
"Valdo","LaLiga","LaLiga","1.62","03-04"
"Emiliano Moretti","Serie A","Serie A","1.62","03-04"
"Goran Sablic","Croatia","Vyshcha Liga","1.62","03-04"
"Cata Díaz","Primera Clausura","Argentina","1.62","03-04"
"Vratislav Gresko","Serie A","Premier League","1.62","03-04"
"James McFadden","Premiership","Premier League","1.58","03-04"
"Florin Bratu","Romania","Süper Lig","1.58","03-04"
"Salvador Carmona","Primera Clausura","Primera Clausura","1.58","03-04"
"Álvaro Santos","Sweden","SAS Ligaen","1.49","03-04"
"Laurent Batlles","Ligue 1","Ligue 1","1.49","03-04"
"Hakan Yakin","Ligue 1","Super League","1.44","03-04"
"Hakan Yakin","SSL","Ligue 1","1.44","03-04"
"Rudi Skacel","Gambrinus Liga","Ligue 1","1.44","03-04"
"Ian Pearce","First Division","Premier League","1.44","03-04"
"Martin Taylor","Premier League","Premier League","1.44","03-04"
"Moisés Moura","Premier Liga","Premier Liga","1.44","03-04"
"Pablo Guiñazú","Argentina","Premier Liga","1.37","03-04"
"Vaclav Sverkos","Gambrinus Liga","Bundesliga","1.35","03-04"
"Cyril Domoraud","Serie A","LaLiga","1.35","03-04"
"Paul Bosvelt","Eredivisie","Premier League","1.35","03-04"
"Cédric Barbosa","Ligue 1","Ligue 1","1.35","03-04"
"Selcuk Sahin","Süper Lig","Süper Lig","1.35","03-04"
"César Prates","Liga NOS","Süper Lig","1.35","03-04"
"Hossam Ghaly","Premier League","Eredivisie","1.35","03-04"
"Tore André Flo","First Division","Serie A","1.35","03-04"
"Geoff Horsfield","Premier League","First Division","1.35","03-04"
"Tolga Seyhan","Süper Lig","Süper Lig","1.35","03-04"
"Paul Kpaka","Jupiler Pro League","Jupiler Pro League","1.35","03-04"
"Lee Martin","England","England","1.35","03-04"
"Geoff Horsfield","First Division","First Division","1.35","03-04"
"Maciel","Liga NOS","Liga NOS","1.35","03-04"
"Claudiu Raducanu","Romania","LaLiga","1.35","03-04"
"Mehmet Yozgatli","Süper Lig","Süper Lig","1.35","03-04"
"Matías Vuoso","Premier League","Primera Clausura","1.35","03-04"
"Sergey Kornilenko","Vysheyshaya Liga","Vyshcha Liga","1.35","03-04"
"Denis Kolodin","1.Division","Premier Liga","1.35","03-04"
"Rio Ferdinand","Premier League","Premier League","41.4","02-03"
"Ronaldo","Serie A","LaLiga","40.5","02-03"
"Hernán Crespo","Serie A","Serie A","36","02-03"
"Fabio Cannavaro","Serie A","Serie A","20.7","02-03"
"Francesco Coco","Serie A","Serie A","20.25","02-03"
"Clarence Seedorf","Serie A","Serie A","20.25","02-03"
"Matías Almeyda","Serie A","Serie A","19.89","02-03"
"Manuele Blasi","Serie A","Serie A","15.93","02-03"
"Albert Luque","LaLiga","LaLiga","13.5","02-03"
"Nicolas Anelka","Ligue 1","Premier League","13.5","02-03"
"El-Hadji Diouf","Ligue 1","Premier League","13.5","02-03"
"Adriano","Serie A","Serie A","13.05","02-03"
"Jonathan Woodgate","Premier League","Premier League","12.15","02-03"
"Javi Moreno","Serie A","LaLiga","11.7","02-03"
"Jorge Andrade","Liga NOS","LaLiga","11.7","02-03"
"Hugo Viana","Liga NOS","Premier League","11.48","02-03"
"Alberto Gilardino","Serie B","Serie A","10.8","02-03"
"Tore André Flo","Scotland","Premier League","9.9","02-03"
"Martin Laursen","Serie A","Serie A","9.9","02-03"
"Roberto Acuña","2ª División","LaLiga","9.9","02-03"
"André Luiz","2ª División","Ligue 1","9.9","02-03"
"Robbie Keane","Premier League","Premier League","9.45","02-03"
"Juan Román Riquelme","Argentina","LaLiga","9","02-03"
"Adrian Mutu","Serie B","Serie A","9","02-03"
"Christian Panucci","Ligue 1","Serie A","8.83","02-03"
"Robbie Fowler","Premier League","Premier League","8.82","02-03"
"Zé Roberto","Bundesliga","Bundesliga","8.55","02-03"
"Sebastian Deisler","Bundesliga","Bundesliga","8.1","02-03"
"Lee Hughes","First Division","Premier League","8.1","02-03"
"Jean-Claude Darcheville","Ligue 2","Ligue 1","8.1","02-03"
"Torsten Frings","Bundesliga","Bundesliga","7.65","02-03"
"Mauro Camoranesi","Serie B","Serie A","7.65","02-03"
"França","Série A","Bundesliga","7.65","02-03"
"Mikel Arteta","LaLiga","Scotland","7.11","02-03"
"Ricardinho","Série A","Série A","7.02","02-03"
"Salif Diao","Ligue 1","Premier League","6.75","02-03"
"Fabrizio Miccoli","Serie B","Serie A","6.75","02-03"
"Matías Vuoso","Argentina","Premier League","6.75","02-03"
"Christian Poulsen","SAS Ligaen","Bundesliga","6.3","02-03"
"Mark Bresciano","Serie A","Serie A","6.3","02-03"
"Juninho Paulista","LaLiga","Premier League","6.21","02-03"
"George Boateng","Premier League","Premier League","6.21","02-03"
"Titus Bramble","First Division","Premier League","6.12","02-03"
"Jan Simak","Bundesliga","Bundesliga","5.85","02-03"
"Ariel Ortega","Argentina","Süper Lig","5.85","02-03"
"Émerson","LaLiga","LaLiga","5.85","02-03"
"Bruno Cheyrou","Ligue 1","Premier League","5.85","02-03"
"Clinton Morrison","First Division","Premier League","5.74","02-03"
"Frank Rost","Bundesliga","Bundesliga","5.63","02-03"
"Michael Ballack","Bundesliga","Bundesliga","5.4","02-03"
"Sylvain Distin","Ligue 1","Premier League","5.4","02-03"
"Maxi Rodríguez","Argentina","LaLiga","5.4","02-03"
"Richard Wright","Premier League","Premier League","4.95","02-03"
"Franco Brienza","Serie A","Serie B","4.95","02-03"
"Ariza Makukula","2ª División","Ligue 1","4.95","02-03"
"Michael Ricketts","Premier League","Premier League","4.73","02-03"
"Gary Rowett","First Division","Premier League","4.73","02-03"
"Matt Piper","First Division","Premier League","4.73","02-03"
"Ariel Ortega","Süper Lig","Argentina","4.5","02-03"
"Dario Simic","Serie A","Serie A","4.5","02-03"
"Petr Cech","Gambrinus Liga","Ligue 1","4.5","02-03"
"Matteo Brighi","Serie A","Serie A","4.5","02-03"
"Ji-sung Park","J1 - 2nd Stage","Eredivisie","4.5","02-03"
"Marcus Stewart","First Division","Premier League","4.39","02-03"
"Stephen Wright","Premier League","Premier League","4.32","02-03"
"Carlos Paredes","Liga NOS","Serie A","4.32","02-03"
"Stephen Appiah","Serie A","Serie A","4.1","02-03"
"Nick Barmby","Premier League","Premier League","4.05","02-03"
"David Sommeil","Ligue 1","Premier League","4.05","02-03"
"Faryd Mondragón","Ligue 2","Süper Lig","4.05","02-03"
"Diogo Rincón","Brazil","Vyshcha Liga","4.05","02-03"
"Victor Sikora","Eredivisie","Eredivisie","3.92","02-03"
"Arjen Robben","Eredivisie","Eredivisie","3.87","02-03"
"Michael Lamey","Eredivisie","Eredivisie","3.87","02-03"
"Fabio Bazzani","Serie B","Serie B","3.87","02-03"
"Daniel Bierofka","Bundesliga","Bundesliga","3.78","02-03"
"Georgi Ivanov","Bulgaria","Ligue 1","3.69","02-03"
"Patrice Evra","Ligue 1","Ligue 1","3.69","02-03"
"Cristian Ledesma","Argentina","Bundesliga","3.6","02-03"
"Darío Rodríguez","Uruguay","Bundesliga","3.6","02-03"
"Bernardo Corradi","Serie A","Serie A","3.6","02-03"
"Chong-gug Song","K League 1","Eredivisie","3.6","02-03"
"Mahamadou Diarra","Eredivisie","Ligue 1","3.51","02-03"
"Pascal Cygan","Ligue 1","Premier League","3.44","02-03"
"Mart Poom","First Division","Premier League","3.38","02-03"
"David Prutton","First Division","Premier League","3.38","02-03"
"Franck Queudrue","Ligue 1","Premier League","3.38","02-03"
"Pascal Nouma","Ligue 1","Süper Lig","3.35","02-03"
"Luís Fabiano","Ligue 1","Série A","3.15","02-03"
"Juan","Série A","Bundesliga","3.15","02-03"
"Dwight Yorke","Premier League","Premier League","3.15","02-03"
"Dagui Bakari","Ligue 1","Ligue 1","3.15","02-03"
"Marek Jankulovski","Serie B","Serie A","3.15","02-03"
"Jason Koumas","Second Division (bis 03/04)","Premier League","3.11","02-03"
"Jiri Stajner","Gambrinus Liga","Bundesliga","2.79","02-03"
"Cosmin Contra","Serie A","LaLiga","2.7","02-03"
"Antti Niemi","Scotland","Premier League","2.7","02-03"
"Grigoris Georgatos","Serie A","A' Ethniki","2.7","02-03"
"Jiri Jarosik","Gambrinus Liga","Premier Liga","2.7","02-03"
"Dmitri Sychev","Premier Liga","Ligue 1","2.7","02-03"
"Marcus Allbäck","Eredivisie","Premier League","2.7","02-03"
"Souza","Série A","Premier Liga","2.7","02-03"
"Rodrigo Fabri","LaLiga","LaLiga","2.7","02-03"
"Remco van der Schaaf","Eredivisie","Eredivisie","2.7","02-03"
"Angelos Charisteas","A' Ethniki","Bundesliga","2.7","02-03"
"Nuno Espírito Santo","LaLiga","Liga NOS","2.7","02-03"
"Federico Insúa","Argentina","Argentina","2.7","02-03"
"Michael Svensson","Ligue 1","Premier League","2.7","02-03"
"Fabio Celestini","Ligue 1","Ligue 1","2.7","02-03"
"Facundo Sava","Argentina","Premier League","2.7","02-03"
"Richard Dutruel","LaLiga","LaLiga","2.61","02-03"
"Lee Carsley","First Division","Premier League","2.57","02-03"
"Ali Lukunku","Jupiler Pro League","Süper Lig","2.52","02-03"
"Morten Skoubo","SAS Ligaen","Bundesliga","2.43","02-03"
"Ulises de la Cruz","Scotland","Premier League","2.43","02-03"
"David Villa","2ª División","LaLiga","2.43","02-03"
"Gabriel Loeschbor","Argentina","Ligue 1","2.35","02-03"
"Luca Ceccarelli","Serie A","Serie A","2.32","02-03"
"Federico Giunti","Serie A","Süper Lig","2.25","02-03"
"Carsten Jancker","Bundesliga","Serie A","2.25","02-03"
"Manuel Friedrich","2. Bundesliga","Bundesliga","2.25","02-03"
"Vladimir Manchev","Bulgaria","Ligue 1","2.25","02-03"
"Sean Gregan","First Division","Premier League","2.25","02-03"
"Sasa Bjelanovic","Croatia","Serie A","2.25","02-03"
"Hervé Nzelo-Lembi","Jupiler Pro League","Bundesliga","2.25","02-03"
